userId,movieId,rating,timestamp_x,tag,timestamp_y,title,genres,imdbId,tmdbId
537,90439,5.0,1424138173,corruption,1424138654.0,Margin Call (2011),Drama|Thriller,1615147,50839.0
474,1084,3.5,1053021255,gangsters,1138137844.0,Bonnie and Clyde (1967),Crime|Drama,61418,475.0
567,68954,3.0,1525286751,emotional,1525286759.0,Up (2009),Adventure|Animation|Children|Drama,1049413,14160.0
474,30707,4.0,1107784398,boxing,1138040320.0,Million Dollar Baby (2004),Drama,405159,70.0
327,3897,4.0,1234788408,music,1234788979.0,Almost Famous (2000),Drama,181875,786.0
599,2959,5.0,1498456882,clever,1498456960.0,Fight Club (1999),Action|Crime|Drama|Thriller,137523,550.0
599,296,5.0,1498456867,biblical references,1498456529.0,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,110912,680.0
474,2801,4.5,1100119890,gambling,1137205541.0,Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997),Drama|Romance,119843,39780.0
435,58559,5.0,1366676030,superhero,1366676054.0,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,468569,155.0
424,2959,4.5,1457843533,thought-provoking,1457842786.0,Fight Club (1999),Action|Crime|Drama|Thriller,137523,550.0
477,3000,5.0,1200940541,Studio Ghibli,1241396420.0,Princess Mononoke (Mononoke-hime) (1997),Action|Adventure|Animation|Drama|Fantasy,119698,128.0
318,68954,4.0,1424546827,dogs,1266408658.0,Up (2009),Adventure|Animation|Children|Drama,1049413,14160.0
567,174055,3.5,1525285048,tense,1525285229.0,Dunkirk (2017),Action|Drama|Thriller|War,5013056,374720.0
567,1916,5.0,1525282174,elegiac,1525282961.0,Buffalo '66 (a.k.a. Buffalo 66) (1998),Drama|Romance,118789,9464.0
424,1923,3.5,1457846495,crude humor,1457846506.0,There's Something About Mary (1998),Comedy|Romance,129387,544.0
62,3578,4.5,1521489618,imdb top 250,1528152498.0,Gladiator (2000),Action|Adventure|Drama,172495,98.0
62,2023,5.0,1525636725,Al Pacino,1525636728.0,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,99674,242.0
